Lused,time,recall,errorrate,points,unique
5,170200,0.7294,0.294039,376905,93991
6,133746,0.763,0.220517,446701,102719
7,184564,0.7912,0.173959,515032,110868
8,194547,0.81835,0.13661,588113,122538
9,202675,0.83665,0.114503,651014,126904
10,201813,0.8475,0.103194,711908,129731
11,209528,0.8684,0.0818111,786910,140540
12,216318,0.87835,0.0735343,857605,148004
13,233673,0.89425,0.0572665,947734,171149
14,234646,0.90325,0.0515131,1012100,175033
15,240023,0.9109,0.0458934,1079033,179182
16,246236,0.91485,0.0417364,1139997,181791
17,253684,0.9197,0.0382991,1211533,187807
18,259993,0.92825,0.0323071,1287867,197275
19,262231,0.931,0.0315001,1354228,200831
20,273537,0.9381,0.0274961,1432006,212786
21,280677,0.9426,0.0256909,1505917,221103
22,285685,0.94785,0.0227316,1581840,228967
23,295029,0.9526,0.0182907,1663338,239933
24,300733,0.9551,0.017497,1729744,243318
25,305257,0.95815,0.0165254,1799254,248127
26,307943,0.96065,0.0156101,1866879,251429
27,264617,0.9643,0.0143946,1945709,261041
28,252056,0.96635,0.013865,2017483,266866
29,258425,0.9684,0.013263,2090572,273259
30,271200,0.9701,0.0127872,2164240,279073
31,269301,0.972,0.0124022,2244257,288900
32,269363,0.9734,0.011873,2311355,292338
33,274213,0.9744,0.0116674,2382560,297399
34,342457,0.9758,0.0107079,2473991,316199
35,299428,0.97705,0.0104899,2540058,318705
36,290062,0.9787,0.00959086,2607515,321445
37,302907,0.97895,0.00953644,2672386,323073
38,299168,0.97935,0.00950443,2750769,328971
39,305308,0.98055,0.00937637,2831317,336122
40,320177,0.98135,0.00920413,2911466,345081
41,314048,0.9819,0.00870886,2979362,347954
42,317212,0.98275,0.00768458,3044489,350295
43,332940,0.9834,0.00738994,3122232,356391
44,325763,0.98395,0.00600022,3190136,358603
45,328912,0.98435,0.00592884,3257589,361035
46,340781,0.9848,0.00585146,3321857,362999
47,336793,0.9856,0.00454929,3407393,372974
48,345024,0.9862,0.00420649,3473901,375521
49,353801,0.98665,0.00413035,3553167,382376
50,352103,0.98695,0.00408767,3618919,384274
