Lused,time,recall,errorrate,points
5,277137,0.594,0.0484629,1629789
8,355130,0.69,0.028903,2210422
10,409975,0.7435,0.0210775,2604405
12,491445,0.8105,0.0147747,3268097
15,565240,0.85,0.0103547,3883025
17,675389,0.8795,0.00815549,4846561
20,721265,0.899,0.00684357,5426518
23,814103,0.922,0.00472787,6411525
26,902801,0.936,0.00353002,7383510
30,976960,0.9475,0.00284113,8282448
35,1041194,0.9545,0.0025322,9250773
40,1083311,0.9585,0.0021837,9726927
45,1141879,0.9645,0.00187263,10739729
50,1181827,0.9705,0.00149773,11607713
