Lused,time,recall,errorrate,points
5,2332836,0.7367,0.295039,882580
6,771333,0.7744,0.224847,1048175
7,1854279,0.798,0.18205,1220335
8,1103495,0.8332,0.116453,1389767
9,771058,0.85175,0.0965765,1566535
10,805080,0.86865,0.0789888,1741676
11,811628,0.878,0.0726749,1905754
12,818097,0.88605,0.0664123,2082187
13,867300,0.9003,0.0549874,2239942
14,835452,0.91165,0.0473885,2418774
15,827603,0.91815,0.0415613,2580442
16,838834,0.92315,0.0373496,2748706
17,852606,0.9295,0.0338594,2925120
18,861174,0.93355,0.0303091,3091521
19,940050,0.94015,0.0227468,3273881
20,968678,0.94335,0.0210256,3438727
21,980882,0.94745,0.0187116,3620912
22,987490,0.95075,0.0176378,3774018
23,1001782,0.95515,0.0150742,3944587
24,1013351,0.95805,0.0140433,4135124
25,1015205,0.96075,0.0127606,4282406
26,1042377,0.9623,0.0119103,4461487
27,1035084,0.9641,0.0114152,4606498
28,1059995,0.9651,0.0111892,4790178
29,1056728,0.9666,0.0103488,4961049
30,1080836,0.9685,0.00942849,5130519
31,1080794,0.96905,0.0092245,5295808
32,1084029,0.97015,0.00870003,5454772
33,1107294,0.9709,0.00846754,5614847
34,1109618,0.9719,0.0080213,5795839
35,1107209,0.97285,0.00778111,5960445
36,1117416,0.9744,0.00748726,6135880
37,1125375,0.9752,0.0073465,6292819
38,1132576,0.9768,0.00705797,6467544
39,1153370,0.97785,0.00663223,6657003
40,1162052,0.9786,0.00620502,6824622
41,1171998,0.9793,0.00602029,6983156
42,1186328,0.98,0.0058747,7156693
43,1196299,0.98035,0.005819,7338196
44,1200974,0.98095,0.00567153,7493959
45,1201764,0.98185,0.00545189,7668688
46,1209398,0.98255,0.00532777,7830666
47,1220487,0.98295,0.00525638,8006688
48,1291576,0.98395,0.00507704,8169615
49,1248598,0.9844,0.00485365,8324949
50,1252455,0.98495,0.00478812,8489742
