Lused,time,recall,errorrate,points
5,235612,0.573,0.0385514,1407128
8,327697,0.674,0.0255802,2099997
10,389084,0.738,0.0191852,2581748
12,442407,0.7815,0.0149105,3003814
15,519004,0.8265,0.0114719,3808515
17,538171,0.8415,0.0102212,3981290
20,657604,0.8855,0.0067276,5054541
23,752979,0.901,0.00542319,6050063
26,927791,0.9305,0.00363983,7844706
30,1008923,0.942,0.00307868,8970590
35,1105440,0.9535,0.00230391,10361225
40,1214858,0.97,0.00142091,12028058
45,1304945,0.9755,0.00115843,13550840
50,1376099,0.98,0.000920788,14888679
