Lused,time,recall,errorrate,points
5,645444,0.6617,0.506539,835084
6,627130,0.71475,0.344317,1018002
7,620578,0.7533,0.257296,1179202
8,648575,0.788,0.188312,1344868
9,644480,0.8126,0.148644,1512707
10,649917,0.83395,0.122864,1680700
11,657815,0.85195,0.1023,1851307
12,671726,0.863,0.0909304,2012249
13,695554,0.8752,0.0771153,2178239
14,691354,0.88815,0.0640988,2346982
15,693360,0.8977,0.0563499,2518074
16,701928,0.90345,0.0521634,2693074
17,710164,0.91015,0.0466867,2861692
18,721191,0.9163,0.041157,3034767
19,729005,0.91975,0.0382759,3197221
20,747542,0.9242,0.0358315,3358367
21,752740,0.92825,0.0340235,3533958
22,751448,0.93235,0.0308877,3698080
23,765353,0.9371,0.0275386,3862360
24,770713,0.9395,0.0267672,4030482
25,784451,0.94385,0.0247423,4211599
26,791004,0.94735,0.0231656,4384696
27,795831,0.95035,0.0216759,4545874
28,812618,0.95335,0.0202729,4713981
29,813193,0.95525,0.0190326,4892287
30,823319,0.95695,0.0183516,5074003
31,829803,0.9588,0.0174408,5225939
32,844877,0.95965,0.0171992,5405523
33,899401,0.9618,0.0154173,5573614
34,862340,0.9634,0.014907,5744453
35,963589,0.965,0.0144967,5902894
36,898485,0.9667,0.0138789,6072697
37,888740,0.96735,0.0124604,6223305
38,898774,0.9683,0.011443,6396928
39,889696,0.96975,0.0108571,6562714
40,913471,0.9709,0.0104296,6724589
41,919860,0.972,0.0101719,6906295
42,936123,0.97355,0.00972104,7087351
43,937607,0.9748,0.0094994,7229108
44,938673,0.9753,0.00920117,7393792
45,945526,0.97645,0.00862819,7571536
46,952207,0.97765,0.00759087,7746674
47,952576,0.97825,0.00712635,7909440
48,972246,0.97915,0.00692135,8077926
49,983190,0.97955,0.00682125,8254882
50,1008386,0.9801,0.00651597,8403766
