Lused,time,recall,errorrate,points
5,176117,0.51115,1.22609,284336
6,51126,0.54975,1.05298,341029
7,73147,0.5843,0.901712,398328
8,66185,0.6163,0.77971,455888
9,61172,0.6421,0.668152,511892
10,63795,0.6668,0.591838,568400
11,68185,0.6882,0.516719,626081
12,69694,0.6984,0.479781,681580
13,73110,0.71585,0.43581,737781
14,75462,0.73305,0.381825,794614
15,80054,0.74255,0.35593,850981
16,81837,0.7577,0.320439,910541
17,84375,0.7666,0.299478,966593
18,88051,0.7867,0.256743,1027429
19,91161,0.79885,0.232653,1085047
20,96079,0.8052,0.218165,1141406
21,89471,0.8121,0.205378,1197499
22,91912,0.81855,0.190926,1252745
23,94101,0.82275,0.182724,1308131
24,99521,0.8315,0.16595,1368392
25,99678,0.83855,0.158738,1425764
26,103827,0.8446,0.15272,1483077
27,105526,0.8481,0.143479,1539070
28,108837,0.8516,0.13735,1594974
29,112557,0.85575,0.133635,1651583
30,114201,0.8607,0.12782,1708927
31,116017,0.86595,0.118703,1764944
32,120170,0.8689,0.113656,1820932
33,120129,0.8733,0.108096,1879485
34,123339,0.87595,0.106207,1935151
35,123848,0.8792,0.101087,1991432
36,134201,0.88305,0.0958411,2048983
37,129554,0.88445,0.0937429,2104418
38,133129,0.88715,0.0902967,2161388
39,135798,0.8916,0.0865539,2218674
40,138568,0.8929,0.0857497,2274184
41,142185,0.8965,0.0803771,2332486
42,141351,0.89875,0.0771213,2388075
43,143706,0.9026,0.0731116,2444452
44,147931,0.9038,0.0725678,2499570
45,149419,0.9051,0.0711069,2555520
46,151130,0.90595,0.0685975,2613082
47,152983,0.90825,0.0667375,2671071
48,156870,0.90995,0.0645356,2727498
49,158316,0.9115,0.0636794,2783615
50,162733,0.9138,0.0619593,2841168
