Lused,time,recall,errorrate,points,unique
5,210600,0.69975,0.368058,840858,81357
6,227769,0.7471,0.271552,1017496,93978
7,239313,0.79945,0.177129,1205963,114659
8,251430,0.8292,0.138819,1370692,124654
9,261079,0.8475,0.107017,1533536,131472
10,278018,0.871,0.0845659,1723932,152594
11,290222,0.8892,0.0696053,1890669,162547
12,289964,0.89925,0.0567592,2061271,174554
13,297553,0.9073,0.0510039,2242095,180487
14,305241,0.91645,0.044932,2397792,185158
15,317554,0.9218,0.0420926,2562797,188965
16,324781,0.92715,0.0377242,2726604,198579
17,336816,0.9322,0.0350472,2917548,204035
18,344179,0.93735,0.032805,3103636,211226
19,353086,0.94015,0.031711,3279607,216356
20,367029,0.9438,0.0301307,3451394,223781
21,345149,0.9463,0.028281,3614949,226971
22,378806,0.94925,0.0271986,3778157,233377
23,368838,0.9516,0.0262756,3941106,236446
24,393549,0.954,0.0236198,4103905,239933
25,409145,0.95795,0.0217843,4278552,249464
26,415854,0.9603,0.0185516,4451776,258115
27,430391,0.9629,0.0170253,4628823,267293
28,434612,0.96495,0.016295,4793834,273671
29,444916,0.96645,0.0158089,4947250,276939
30,453026,0.96805,0.0154329,5113619,280534
31,461623,0.9697,0.0149876,5275728,283821
32,460950,0.9707,0.0147305,5434670,285763
33,460217,0.9725,0.0136587,5623964,294221
34,471753,0.97415,0.0132178,5800261,299846
35,470348,0.97525,0.0130125,5978834,305904
36,480495,0.9761,0.0127434,6147295,309309
37,394326,0.97665,0.0126667,6332627,313927
38,439789,0.97755,0.0122544,6522657,320904
39,372947,0.978,0.012038,6682822,322179
40,418133,0.97935,0.0107024,6847396,329063
41,391451,0.9803,0.0105361,7017754,336279
42,406610,0.98115,0.00999641,7182008,338787
43,431079,0.9818,0.00945514,7344683,342547
44,433339,0.9823,0.00917977,7521330,345509
45,442176,0.983,0.00888032,7693231,350988
46,419402,0.9836,0.0086931,7850358,354106
47,452662,0.9839,0.00864598,8011970,356526
48,459857,0.98485,0.00844876,8188009,361476
49,462030,0.98585,0.00777383,8369160,366770
50,455597,0.98635,0.00770377,8545343,370650
