Lused,time,recall,errorrate,points
5,121811,0.66965,0.455925,839375
6,132407,0.7215,0.326467,1004001
7,144128,0.7508,0.261429,1158685
8,145965,0.78995,0.18971,1312730
9,154418,0.81355,0.154956,1469854
10,160546,0.8332,0.126605,1644445
11,166404,0.8494,0.106793,1809877
12,175985,0.8677,0.0815554,2005855
13,185564,0.8805,0.0696259,2170784
14,190858,0.8934,0.0605821,2342053
15,199230,0.9064,0.0497904,2504307
16,206192,0.91325,0.044037,2666306
17,216633,0.9199,0.0401881,2824172
18,221441,0.92535,0.0347986,2997939
19,226215,0.92895,0.0330767,3163033
20,232136,0.93455,0.0290839,3330130
21,240411,0.93725,0.0270099,3500366
22,250353,0.9431,0.0227309,3673446
23,257491,0.9465,0.0208636,3838278
24,260257,0.9494,0.0200282,4012263
25,274152,0.95365,0.0176925,4183314
26,274099,0.9561,0.0170378,4365657
27,282721,0.9594,0.0133821,4554530
28,289187,0.962,0.0123131,4728782
29,299577,0.9649,0.0115217,4905326
30,311469,0.9657,0.0113523,5065219
31,309472,0.96905,0.0103929,5241067
32,319032,0.9704,0.0100727,5403183
33,322905,0.97165,0.00914488,5570142
34,325899,0.9732,0.00868122,5740323
35,338614,0.9738,0.00851911,5910711
36,339382,0.97575,0.00754721,6075624
37,357264,0.9759,0.00752102,6233585
38,349317,0.97615,0.0075029,6395380
39,354522,0.9772,0.00644291,6583318
40,371241,0.9778,0.00611808,6744810
41,367944,0.9787,0.00578847,6922381
42,377092,0.9795,0.00565764,7086248
43,383134,0.9802,0.00556125,7257223
44,386044,0.981,0.00534184,7438248
45,403029,0.98165,0.00522407,7613407
46,411151,0.9825,0.00501183,7784014
47,405126,0.9831,0.00473588,7974486
48,416764,0.98385,0.00459354,8132598
49,417746,0.98385,0.00458927,8302373
50,426681,0.9843,0.00454572,8467124
